variant,study,num_study,susc,sample_num
B.1.1.7,vac,13,S,256
B.1.1.7,vac,13,I,71
B.1.1.7,vac,13,R,29
B.1.1.7,cp,13,S,218
B.1.1.7,cp,13,I,38
B.1.1.7,cp,13,R,15
B.1.351,vac,12,S,46
B.1.351,vac,12,I,131
B.1.351,vac,12,R,90
B.1.351,cp,16,S,64
B.1.351,cp,16,I,112
B.1.351,cp,16,R,165
P.1,vac,5,S,63
P.1,vac,5,I,35
P.1,vac,5,R,7
P.1,cp,6,S,60
P.1,cp,6,I,40
P.1,cp,6,R,11
B.1.526,vac,0,S,0
B.1.526,vac,0,I,0
B.1.526,vac,0,R,0
B.1.526,cp,0,S,0
B.1.526,cp,0,I,0
B.1.526,cp,0,R,0
B.1.429/B.1.427,vac,2,S,13
B.1.429/B.1.427,vac,2,I,2
B.1.429/B.1.427,vac,2,R,0
B.1.429/B.1.427,cp,2,S,19
B.1.429/B.1.427,cp,2,I,12
B.1.429/B.1.427,cp,2,R,1
N501Y,vac,6,S,87
N501Y,vac,6,I,0
N501Y,vac,6,R,0
N501Y,cp,5,S,106
N501Y,cp,5,I,6
N501Y,cp,5,R,0
E484K,vac,4,S,30
E484K,vac,4,I,16
E484K,vac,4,R,1
E484K,cp,6,S,57
E484K,cp,6,I,26
E484K,cp,6,R,7
K417N,vac,3,S,60
K417N,vac,3,I,1
K417N,vac,3,R,0
K417N,cp,3,S,61
K417N,cp,3,I,2
K417N,cp,3,R,0
L452R,vac,0,S,0
L452R,vac,0,I,0
L452R,vac,0,R,0
L452R,cp,1,S,0
L452R,cp,1,I,1
L452R,cp,1,R,1
N439K,vac,2,S,26
N439K,vac,2,I,0
N439K,vac,2,R,0
N439K,cp,1,S,3
N439K,cp,1,I,0
N439K,cp,1,R,0
Y453F,vac,1,S,15
Y453F,vac,1,I,0
Y453F,vac,1,R,0
Y453F,cp,1,S,10
Y453F,cp,1,I,4
Y453F,cp,1,R,0
∆69/70,vac,1,S,22
∆69/70,vac,1,I,0
∆69/70,vac,1,R,0
∆69/70,cp,3,S,41
∆69/70,cp,3,I,0
∆69/70,cp,3,R,0
∆144,vac,1,S,22
∆144,vac,1,I,0
∆144,vac,1,R,0
∆144,cp,1,S,18
∆144,cp,1,I,2
∆144,cp,1,R,0
