variant,study,num_study,susc,sample_num
B.1.1.7,vac,21,S,469
B.1.1.7,vac,21,I,109
B.1.1.7,vac,21,R,45
B.1.1.7,cp,20,S,409
B.1.1.7,cp,20,I,60
B.1.1.7,cp,20,R,15
B.1.351,vac,18,S,71
B.1.351,vac,18,I,216
B.1.351,vac,18,R,143
B.1.351,cp,21,S,126
B.1.351,cp,21,I,168
B.1.351,cp,21,R,151
P.1,vac,6,S,79
P.1,vac,6,I,37
P.1,vac,6,R,28
P.1,cp,7,S,62
P.1,cp,7,I,46
P.1,cp,7,R,7
B.1.526,vac,0,S,0
B.1.526,vac,0,I,0
B.1.526,vac,0,R,0
B.1.526,cp,0,S,0
B.1.526,cp,0,I,0
B.1.526,cp,0,R,0
B.1.427/9,vac,4,S,87
B.1.427/9,vac,4,I,25
B.1.427/9,vac,4,R,3
B.1.427/9,cp,4,S,28
B.1.427/9,cp,4,I,24
B.1.427/9,cp,4,R,3
N501Y,vac,9,S,116
N501Y,vac,9,I,0
N501Y,vac,9,R,0
N501Y,cp,6,S,141
N501Y,cp,6,I,7
N501Y,cp,6,R,0
E484K,vac,7,S,41
E484K,vac,7,I,32
E484K,vac,7,R,2
E484K,cp,6,S,58
E484K,cp,6,I,26
E484K,cp,6,R,9
K417N,vac,5,S,76
K417N,vac,5,I,1
K417N,vac,5,R,0
K417N,cp,4,S,67
K417N,cp,4,I,2
K417N,cp,4,R,0
L452R,vac,1,S,5
L452R,vac,1,I,1
L452R,vac,1,R,0
L452R,cp,2,S,4
L452R,cp,2,I,3
L452R,cp,2,R,1
N439K,vac,2,S,26
N439K,vac,2,I,0
N439K,vac,2,R,0
N439K,cp,1,S,3
N439K,cp,1,I,0
N439K,cp,1,R,0
Y453F,vac,1,S,15
Y453F,vac,1,I,0
Y453F,vac,1,R,0
Y453F,cp,1,S,10
Y453F,cp,1,I,4
Y453F,cp,1,R,0
∆69/70,vac,1,S,22
∆69/70,vac,1,I,0
∆69/70,vac,1,R,0
∆69/70,cp,4,S,77
∆69/70,cp,4,I,0
∆69/70,cp,4,R,0
∆144,vac,1,S,22
∆144,vac,1,I,0
∆144,vac,1,R,0
∆144,cp,1,S,18
∆144,cp,1,I,2
∆144,cp,1,R,0
