mab,results,avail,target,pdb
Casirivimab,177,Phase 3,RBD,6XDG
Imdevimab,173,Phase 3,RBD,6XDG
Etesevimab,167,Phase 3,RBD,7C01
BRII-196,129,Phase 3,RBD,
Vir-7831,109,Phase 3,RBD,6WPS
Bamlanivimab,70,Phase 3,RBD,7KMG
BRII-198,47,Phase 3,RBD,
Cilgavimab,39,Phase 3,RBD,7L7E
Tixagevimab,39,Phase 3,RBD,7L7D
Regdanvimab,1,Phase 3,RBD,7CM4
C135,71,Phase 1,RBD,7K8Z
C144,52,Phase 1,RBD,7K90
JMB2002,12,Phase 1,RBD,
ADG20,3,Phase 1,RBD,
H4,88,,RBD,7L58
B38,88,,RBD,7BZ5
P2B-2F6,88,,RBD,7BWJ
H014,82,,RBD,7CAH
157,82,,RBD,
247,82,,RBD,
261-262,82,,RBD,
AB35,82,,RBD,
CA1,82,,RBD,
H00S022,82,,RBD,
X593,82,,RBD,
C121,67,,RBD,7K8X
S2E12,38,,RBD,7K4N
1B07,34,,RBD,
REGN10989,32,,RBD,
COVA1-16,31,,RBD,7JMW
S2M11,29,,RBD,7K43
2B04,29,,RBD,
2H04,29,,RBD,
SARS2-01,29,,RBD,
SARS2-02,29,,RBD,
SARS2-07,29,,RBD,
SARS2-16,29,,RBD,
SARS2-19,29,,RBD,
SARS2-32,29,,RBD,
SARS2-38,29,,RBD,
BD-368-2,24,,RBD,7CHH
P5A-3C8,23,,RBD,
P5A-1B9,22,,RBD,7CZX
A19-46.1,22,,RBD,
A19-61.1,22,,RBD,
A23-58.1,22,,RBD,
B1-182.1,22,,RBD,
P22A-1D1,22,,RBD,
P5A-1D2,22,,RBD,
2-7,21,,RBD,7LSS
1-57,21,,RBD,7LS9
2-36,21,,RBD,
2-15,20,,RBD,7L5B
2-43,20,,RBD,7L56
910-30,20,,RBD,7KS9
2-4,20,,RBD,6XEY
1-20,20,,RBD,
2-30,20,,RBD,
2-38,20,,RBD,
4-20,20,,RBD,
REGN10985,20,,RBD,
COVA1-18,17,,RBD,
S2X259,12,,RBD,
COVA2-07,12,,RBD,
COVA1-12,11,,RBD,
COVA1-21,11,,RBD,
COVA2-17,11,,RBD,
C601,11,,RBD,
C602,11,,RBD,
C603,11,,RBD,
C613,11,,RBD,
C614,11,,RBD,
C627,11,,RBD,
C628,11,,RBD,
C643,11,,RBD,
C653,11,,RBD,
C660,11,,RBD,
C663,11,,RBD,
C666,11,,RBD,
C669,11,,RBD,
C670,11,,RBD,
C671,11,,RBD,
C675,11,,RBD,
C682,11,,RBD,
REGN10934,10,,RBD,
COV2-2072,10,,RBD,
COV2-3025,10,,RBD,
SARS2-10,10,,RBD,
SARS2-3,10,,RBD,
SARS2-31,10,,RBD,
SARS2-44,10,,RBD,
COVOX-40,9,,RBD,7ND6
COV2-2381,9,,RBD,
S2H58,8,,RBD,
COVA2-02,8,,RBD,
COVA2-29,8,,RBD,
COVA2-04,7,,RBD,7JMO
COVA2-15,7,,RBD,
DH1043,6,,RBD,7LJR
DH1047,6,,RBD,7LD1
DH1041,6,,RBD,7LAA
Vir-7832,6,,RBD,
COV2-2165,6,,RBD,
COV2-2832,6,,RBD,
COVOX-384,5,,RBD,7BEP
COV2-2050,5,,RBD,
COV2-2082,5,,RBD,
COVA2-39,4,,RBD,7JMP
BD-629,4,,RBD,7CH5
COV2-2479,4,,RBD,
S2H14,3,,RBD,7JX3
S2D106,3,,RBD,
S2D19,3,,RBD,
S2D32,3,,RBD,
S2D8,3,,RBD,
S2D97,3,,RBD,
S2H7,3,,RBD,
S2H70,3,,RBD,
S2H71,3,,RBD,
S2H94,3,,RBD,
S2H97,3,,RBD,
S2N12,3,,RBD,
S2N22,3,,RBD,
S2N28,3,,RBD,
S2X128,3,,RBD,
S2X30,3,,RBD,
S2X305,3,,RBD,
S2X58,3,,RBD,
S2X608,3,,RBD,
S2X609,3,,RBD,
S2X615,3,,RBD,
S2X619,3,,RBD,
150HC + 222LC,3,,RBD,
158HC + 222LC,3,,RBD,
222HC + 222LC,3,,RBD,
ADG10,3,,RBD,
ADG30,3,,RBD,
Fab 150,3,,RBD,
Fab 158,3,,RBD,
Fab 175,3,,RBD,
Fab 222,3,,RBD,
S2E11,2,,RBD,7K43
S2X35,2,,RBD,7JXE
S2E13,2,,RBD,7JV6
CV30,2,,RBD,6XE1
S2D65,2,,RBD,
S2E16,2,,RBD,
S2E23,2,,RBD,
S2H19,2,,RBD,
S2H90,2,,RBD,
S2K15,2,,RBD,
S2K21,2,,RBD,
S2K30,2,,RBD,
S2K63v2,2,,RBD,
S2L17,2,,RBD,
S2L49,2,,RBD,
S2X16,2,,RBD,
S2X192,2,,RBD,
S2X227,2,,RBD,
S2X246,2,,RBD,
S2X324,2,,RBD,
S2X450,2,,RBD,
S2X475,2,,RBD,
S2X607,2,,RBD,
S2X613,2,,RBD,
S2X620,2,,RBD,
269HC + 222LC,2,,RBD,
mAb102,2,,RBD,
CV2-75,2,,RBD,
CV3-1,2,,RBD,
CV05-163,1,,RBD,7LOP
CV07-270,1,,RBD,6XKP
CC12.3,1,,RBD,6XC4
CC12.1,1,,RBD,6XC2
B07,1,,RBD,
C14,1,,RBD,
I14,1,,RBD,
J08,1,,RBD,
CC6.29,1,,RBD,
4A8,46,,NTD,7C2L
4-8,26,,NTD,7LQV
5-24,26,,NTD,7L2F
5-7,25,,NTD,
2-17,24,,NTD,7LQW
4-19,23,,NTD,
S2M28,9,,NTD,7LY0
S2X28,9,,NTD,
COV2-2676,8,,NTD,
S2L28,7,,NTD,
S2X333,5,,NTD,7LXW
4-18,5,,NTD,7L2E
COV2-2489,4,,NTD,
S2L50,2,,NTD,
S2L26,1,,NTD,
S2X107,1,,NTD,
S2X124,1,,NTD,
S2X158,1,,NTD,
S2X303,1,,NTD,
Casirivimab/Imdevimab,63,,,
Bamlanivimab/Etesevimab,27,,,
Cilgavimab/Tixagevimab,21,,,
REGN10989/Imdevimab,12,,,
REGN10989/10934,11,,,
Vir-7831/S2E12,9,,,
DH1042,6,,,
C135/C144,5,,,
BRII-196/BRII-198,4,,,
CQ012,2,,,
CQ016,2,,,
CQ024,2,,,
CQ028,2,,,
CQ045,2,,,
CQ046,2,,,
CQ026,1,,,
CQ038,1,,,
